,createDt,deathCnt,decideCnt,seq,stateDt,stateTime,updateDt,accExamCnt,accDefRate
0,2022-08-31 08:15:32.74,26764,23246398,991,20220831,00:00,null,,
1,2022-08-30 08:07:00.006,26689,23142437,990,20220830,00:00,2022-08-31 08:15:57.022,,
2,2022-08-29 09:04:40.552,26618,23026799,989,20220829,00:00,2022-08-31 08:16:12.99,,
3,2022-08-28 09:23:20.921,26569,22983674,988,20220828,00:00,2022-08-31 08:16:27.935,,
4,2022-08-27 09:10:24.672,26499,22898425,987,20220827,00:00,2022-08-31 08:16:52.428,,
5,2022-08-26 08:55:24.519,26413,22802836,986,20220826,00:00,2022-08-31 08:17:07.413,,
6,2022-08-25 08:50:21.992,26332,22701716,985,20220825,00:00,2022-08-31 08:18:17.689,,
7,2022-08-24 08:50:29.097,26224,22588367,984,20220824,00:00,2022-08-31 08:18:35.615,,
8,2022-08-23 09:00:22.27,26161,22449064,983,20220823,00:00,2022-08-30 08:09:00.138,,
9,2022-08-22 08:10:20.298,26109,22298898,982,20220822,00:00,2022-08-27 09:14:29.004,,
10,2022-08-21 09:23:58.217,26044,22239879,981,20220821,00:00,2022-08-27 09:15:12.89,,
11,2022-08-20 09:16:38.308,25980,22128971,980,20220820,00:00,2022-08-27 09:15:40.959,,
12,2022-08-19 08:59:50.322,25896,21999631,979,20220819,00:00,2022-08-26 08:56:58.338,,
13,2022-08-18 08:54:41.403,25813,21860883,978,20220818,00:00,2022-08-25 08:53:26.316,,
14,2022-08-17 06:24:10.981,25752,21682395,977,20220817,00:00,2022-08-24 08:51:54.988,,
15,2022-08-16 06:27:26.615,25710,21501742,976,20220816,00:00,2022-08-23 09:04:11.682,,
16,2022-08-15 09:06:28.871,25673,21417737,975,20220815,00:00,2022-08-20 09:19:07.747,,
17,2022-08-14 09:04:15.348,25623,21355681,974,20220814,00:00,2022-08-20 09:19:24.046,,
18,2022-08-13 09:05:17.492,25566,21236135,973,20220813,00:00,2022-08-20 09:19:40.729,,
19,2022-08-12 08:40:20.037,25499,21111590,972,20220812,00:00,2022-08-19 09:02:24.842,,
20,2022-08-11 09:10:29.411,25441,20982950,971,20220811,00:00,2022-08-18 08:57:51.377,,
21,2022-08-10 09:21:32.068,25382,20845787,970,20220810,00:00,2022-08-17 06:26:25.494,,
22,2022-08-09 09:06:13.288,25332,20694097,969,20220809,00:00,2022-08-13 09:06:28.225,,
23,2022-08-08 09:03:33.354,25292,20544231,968,20220808,00:00,2022-08-13 09:06:42.265,,
24,2022-08-07 09:06:42.352,25263,20488969,967,20220807,00:00,2022-08-13 09:06:55.146,,
25,2022-08-06 09:05:09.8,25236,20383501,966,20220806,00:00,2022-08-13 09:07:11.619,,
26,2022-08-05 08:19:11.853,25191,20272882,965,20220805,00:00,2022-08-12 08:43:45.493,,
27,2022-08-04 08:58:06.376,25144,20160027,964,20220804,00:00,2022-08-11 09:12:26.753,,
28,2022-08-03 09:01:06.599,25110,20052173,963,20220803,00:00,2022-08-10 09:23:37.356,,
29,2022-08-02 09:02:53.088,25084,19932291,962,20220802,00:00,2022-08-09 09:07:40.6,,
30,2022-08-01 09:00:03.794,25068,19820538,961,20220801,00:00,2022-08-06 09:45:17.021,,
31,2022-07-31 08:57:39.943,25047,19775884,960,20220731,00:00,2022-08-06 09:45:26.806,,
32,2022-07-30 07:41:25.208,25027,19702325,959,20220730,00:00,2022-08-06 09:45:43.135,,
33,2022-07-29 08:58:16.878,24992,19620354,958,20220729,00:00,2022-08-05 08:21:01.759,,
34,2022-07-28 08:47:13.153,24957,19535065,957,20220728,00:00,2022-08-04 08:59:43.278,,
35,2022-07-27 09:12:50.426,24932,19446717,956,20220727,00:00,2022-08-03 09:02:38.724,,
36,2022-07-26 09:02:45.366,24907,19346477,955,20220726,00:00,2022-08-02 09:06:38.063,,
37,2022-07-25 09:13:10.075,24890,19247261,954,20220725,00:00,2022-07-30 07:44:13.924,,
38,2022-07-24 09:07:36.857,24873,19211401,953,20220724,00:00,2022-07-30 07:44:26.434,,
39,2022-07-23 09:11:03.219,24855,19146028,952,20220723,00:00,2022-07-30 07:44:38.478,,
40,2022-07-22 09:02:15.612,24825,19077520,951,20220722,00:00,2022-07-29 09:00:47.547,,
41,2022-07-21 08:58:37.815,24794,19008926,950,20220721,00:00,2022-07-28 08:49:09.285,,
42,2022-07-20 09:10:31.651,24777,18937795,949,20220720,00:00,2022-07-27 09:15:29.94,,
43,2022-07-19 09:08:28.209,24765,18861450,948,20220719,00:00,2022-07-26 09:05:21.963,,
44,2022-07-18 09:14:24.008,24753,18787908,947,20220718,00:00,2022-07-25 09:54:11.97,,
45,2022-07-17 09:20:40.164,24742,18761129,946,20220717,00:00,2022-07-24 09:09:22.617,,
46,2022-07-16 09:24:11.751,24728,18721303,945,20220716,00:00,2022-07-22 09:05:36.526,,
47,2022-07-15 09:05:32.847,24712,18680000,944,20220715,00:00,2022-07-22 09:05:48.015,,
48,2022-07-14 09:13:54.461,24696,18641158,943,20220714,00:00,2022-07-21 09:01:56.917,,
49,2022-07-13 09:05:07.805,24680,18602014,942,20220713,00:00,2022-07-20 09:16:24.431,,
50,2022-07-12 04:00:24.857,24668,18561766,941,20220712,00:00,2022-07-19 09:11:29.67,,
51,2022-07-11 06:10:35.034,24661,18524435,940,20220711,00:00,2022-07-16 09:29:11.856,,
52,2022-07-10 09:20:10.072,24643,18511754,939,20220710,00:00,2022-07-16 09:29:23.921,,
53,2022-07-09 09:17:26.072,24624,18491357,938,20220709,00:00,2022-07-16 09:29:41.673,,
54,2022-07-08 06:22:27.014,24605,18471097,937,20220708,00:00,2022-07-15 09:07:34.94,,
55,2022-07-07 06:13:49.365,24593,18451799,935,20220707,00:00,2022-07-14 09:15:50.75,,
56,2022-07-06 09:09:17.419,24583,18433301,934,20220706,00:00,2022-07-13 09:07:31.314,,
57,2022-07-05 08:52:18.803,24576,18413942,933,20220705,00:00,2022-07-12 04:02:48.16,,
58,2022-07-04 09:15:45.01,24574,18395822,932,20220704,00:00,2022-07-09 09:19:58.582,,
59,2022-07-03 08:56:14.994,24570,18389573,931,20220703,00:00,2022-07-09 09:20:17.436,,
60,2022-07-02 10:00:18.979,24562,18379525,930,20220702,00:00,2022-07-09 09:20:48.942,,
61,2022-07-01 08:48:46.102,24555,18368824,929,20220701,00:00,2022-07-08 06:25:00.664,,
62,2022-06-30 09:01:12.891,24547,18359307,928,20220630,00:00,2022-07-06 09:10:41.785,,
63,2022-06-29 09:12:36.532,24537,18349716,927,20220629,00:00,2022-07-06 09:10:52.644,,
64,2022-06-28 08:52:34.91,24530,18339262,926,20220628,00:00,2022-07-05 08:54:46.199,,
65,2022-06-27 09:11:58.767,24525,18329369,924,20220627,00:00,2022-07-02 10:18:29.922,,
66,2022-06-26 09:27:03.341,24522,18325946,923,20220626,00:00,2022-07-02 10:18:38.835,,
67,2022-06-25 09:32:40.202,24516,18319708,922,20220625,00:00,2022-07-02 10:18:52.353,,
68,2022-06-24 09:05:53.514,24498,18312935,921,20220624,00:00,2022-07-01 08:51:11.431,,
69,2022-06-23 09:06:53.994,24488,18305719,920,20220623,00:00,2022-06-30 09:22:21.131,,
70,2022-06-22 09:03:09.997,24474,18298231,918,20220622,00:00,2022-06-29 09:15:37.235,,
71,2022-06-21 09:06:00.682,24463,18289265,917,20220621,00:00,2022-06-28 08:55:34.522,,
72,2022-06-20 09:06:19.000,24451,18279976,916,20220620,00:00,2022-06-25 09:39:16.000,,
73,2022-06-19 07:40:29.295,24441,18276443,915,20220619,00:00,2022-06-25 09:39:34.745,,
74,2022-06-18 08:16:08.19,24427,18270377,914,20220618,00:00,2022-06-25 09:40:10.823,,
75,2022-06-17 09:03:13.419,24416,18263556,913,20220617,00:00,2022-06-24 09:08:22.102,,
76,2022-06-16 08:59:50.365,24407,18256364,912,20220616,00:00,2022-06-23 09:10:42.916,,
77,2022-06-15 09:10:38.777,24399,18248422,911,20220615,00:00,2022-06-22 09:07:36.257,,
78,2022-06-14 09:08:41.615,24390,18239008,910,20220614,00:00,2022-06-21 09:09:24.837,,
79,2022-06-13 09:15:46.696,24388,18229246,909,20220613,00:00,2022-06-18 08:17:45.675,,
80,2022-06-12 09:15:29.957,24371,18225423,908,20220612,00:00,2022-06-18 08:17:58.713,,
81,2022-06-11 09:17:30.488,24351,18218046,907,20220611,00:00,2022-06-18 08:18:11.043,,
82,2022-06-09 09:07:31.452,24323,18200302,905,20220609,00:00,2022-06-16 09:03:46.013,,
83,2022-06-08 09:09:05.982,24305,18188153,904,20220608,00:00,2022-06-15 09:13:12.338,,
84,2022-06-07 09:09:00.897,24299,18174804,903,20220607,00:00,2022-06-14 09:10:37.039,,
85,2022-06-06 09:00:06.734,24279,18168637,902,20220606,00:00,2022-06-11 09:19:14.658,,
86,2022-06-05 08:53:19.426,24258,18163615,901,20220605,00:00,2022-06-11 09:19:31.13,,
87,2022-06-04 08:56:49.219,24238,18153783,900,20220604,00:00,2022-06-11 09:19:47.048,,
88,2022-06-03 09:08:18.729,24229,18141754,899,20220603,00:00,2022-06-10 09:23:55.524,,
89,2022-06-02 08:58:19.746,24212,18129224,898,20220602,00:00,2022-06-09 09:08:32.536,,
90,2022-06-01 09:07:30.461,24197,18119345,897,20220601,00:00,2022-06-08 09:12:05.316,,
91,2022-05-31 08:55:39.977,24176,18103577,896,20220531,00:00,2022-06-04 08:59:23.637,,
92,2022-05-30 09:01:30.847,24167,18086392,895,20220530,00:00,2022-06-04 08:59:37.203,,
93,2022-05-29 09:05:28.382,24158,18080257,894,20220529,00:00,2022-06-04 08:59:51.863,,
94,2022-05-28 09:09:18.909,24139,18067610,893,20220528,00:00,2022-06-04 09:00:06.316,,
95,2022-05-27 09:03:34.444,24103,18053236,892,20220527,00:00,2022-06-03 09:11:10.578,,
96,2022-05-26 09:13:37.732,24063,18036664,891,20220526,00:00,2022-06-01 09:08:19.164,,
97,2022-05-25 09:02:44.294,24029,18017859,890,20220525,00:00,2022-06-01 09:08:25.254,,
98,2022-05-24 08:49:38.261,24006,17993923,889,20220524,00:00,2022-05-31 08:58:44.451,,
99,2022-05-23 08:56:56.412,23987,17967592,888,20220523,00:00,2022-05-28 09:10:13.674,,
100,2022-05-22 07:52:40.527,23965,17957621,887,20220522,00:00,2022-05-28 09:10:20.33,,
101,2022-05-21 08:39:51.786,23911,17938332,886,20220521,00:00,2022-05-28 09:10:27.211,,
102,2022-05-20 09:02:54.987,23885,17914882,885,20220520,00:00,2022-05-27 09:04:41.621,,
103,2022-05-19 09:07:11.841,23842,17889769,884,20220519,00:00,2022-05-26 09:16:54.036,,
104,2022-05-18 08:58:30.377,23802,17861660,883,20220518,00:00,2022-05-25 09:05:49.683,,
105,2022-05-17 09:04:52.287,23771,17830327,882,20220517,00:00,2022-05-24 09:18:48.656,,
